Rank;SJR-index;CiteScore;H-index;Total Docs.;Total Docs. 3y;Total Refs.;Total Cites 3y;Citable Docs. 3y;Cites/Doc. 2y;Refs./Doc.
1;86091;6429;198;44;118;4268;30318;85;29999;970
2;3673;251;292;36;122;2398;2141;122;1483;6661
3;34201;1644;485;121;328;10804;13331;156;3547;8929
4;26494;1020;856;420;1637;27609;67791;1440;438;6574
5;26015;1344;1130;1410;4561;14396;133956;1854;3393;1021
6;24687;1075;605;522;1245;15256;41058;664;3467;2923
7;23962;248;151;103;138;940;3469;133;2528;913
8;22781;719;491;423;1038;10852;20441;426;1635;2565
9;21927;1032;156;122;294;11032;11854;168;4082;9043
10;21833;182;337;71;355;4237;4108;354;978;5968
11;20977;967;484;111;325;8402;10528;174;3734;7569
12;20957;834;1331;3132;7467;67627;168543;3565;2395;2159
13;20643;157;207;73;259;4302;2634;256;811;5893
14;20343;915;372;37;107;12520;5268;103;4302;33838
15;19588;816;196;213;610;6286;18034;366;2705;2951
16;19454;732;406;123;331;8797;7701;186;1721;7152
17;19423;1238;370;245;674;9158;12260;148;1715;3738
18;18911;1027;790;340;779;144893;49047;748;5837;42616
19;18141;830;444;170;527;10795;15360;287;3078;635
20;16786;528;247;218;931;1309;19129;747;2569;60
21;16732;538;621;260;640;12836;15264;485;1956;4937
22;16555;211;201;32;90;3601;1352;85;1287;11253
23;15633;306;95;23;72;6475;1787;71;2302;28152
24;15515;114;336;71;230;4037;1809;223;714;5686
25;15262;541;317;24;84;4380;2702;83;2982;1825
26;15178;430;114;11;114;500;2980;104;2642;4545
27;15109;813;595;309;861;72439;45168;854;4622;23443
28;14809;755;198;131;442;8155;9474;201;2411;6225
29;14795;577;436;214;725;13904;18347;643;2223;6497
31;14432;107;158;77;235;5015;1588;235;52;6513
32;14358;489;363;350;1022;9296;15558;665;1378;2656
33;14306;631;125;104;292;4345;4232;62;1561;4178
34;14248;825;240;76;306;16826;13450;297;4105;22139
35;13874;583;533;293;835;9498;21329;578;2526;3242
36;13775;914;36;2;15;173;851;15;391;865
37;13693;795;373;46;122;17428;6046;119;3223;37887
38;13328;590;1283;2066;9273;40993;130524;4211;149;1984
39;13187;530;110;169;486;6420;12139;370;2264;3799
40;13141;546;395;230;669;8497;16881;425;2634;3694
41;12979;88;213;92;241;4257;1419;236;528;4627
42;12966;205;173;15;67;2280;991;67;1193;1520
43;12694;128;100;42;127;2726;1037;127;57;649
44;12578;529;378;192;548;7019;12507;426;2128;3656
46;12282;606;153;201;750;10717;21751;619;2522;5332
48;12239;138;218;101;407;6256;4135;406;954;6194
49;12124;439;460;230;631;10585;12318;568;1765;4602
50;12034;515;121;0;13;0;323;11;2944;0
51;11945;630;277;170;840;6095;16210;494;184;3585
